Feature,Importance
assigned_to,28.791140273735984
Month_cos,12.534713103190297
assignment_group,10.224727143731315
caller_id,9.061688594731612
opened_by,6.981215633458717
contact_type,5.0038528063038745
Month_sin,4.946828010817122
u_symptom,4.5046517987886245
subcategory,4.380194272909808
category,4.25047530517127
priority,2.139269190293053
location,1.5969663923338735
Day_of_week_sin,1.5778399230243478
impact,1.0413347424346884
Hour_sin,1.0141599016936609
urgency,0.9226456355696004
Hour_cos,0.5603697867823919
Day_of_week_cos,0.4679274850296896
