,precision,recall,f1-score,support
0,0.9863614687649023,0.7805283018867925,0.8714556562039183,26500.0
1,0.21117591211175912,0.8448182311448725,0.337890625,1843.0
accuracy,0.7847087464276894,0.7847087464276894,0.7847087464276894,0.7847087464276894
macro avg,0.5987686904383307,0.8126732665158325,0.6046731406019592,28343.0
weighted avg,0.93595512572035,0.7847087464276894,0.8367606573502746,28343.0
